epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.426,1.41289,3.2892,1.68569,0.5172,0.4454,0.43528,0.25493,1.42832,1.89219,1.69466,5.11931e-05,5.11931e-05,5.11931e-05
2,170.629,1.25194,2.01378,1.5194,0.5362,0.55665,0.54687,0.33827,1.35087,1.66766,1.66973,0.000100496,0.000100496,0.000100496
3,253.905,1.23274,1.80005,1.49992,0.60399,0.53663,0.5633,0.34422,1.34884,1.511,1.62723,0.000147767,0.000147767,0.000147767
4,337.143,1.21537,1.70463,1.48307,0.56636,0.52087,0.54494,0.33881,1.35775,1.5753,1.61364,0.000144852,0.000144852,0.000144852
5,422.763,1.18527,1.58513,1.46584,0.56402,0.57341,0.58797,0.3613,1.39983,1.41586,1.59837,0.000141803,0.000141803,0.000141803
6,505.999,1.16648,1.49148,1.45055,0.62878,0.59503,0.63223,0.4011,1.29477,1.36929,1.55877,0.000138754,0.000138754,0.000138754
7,589.227,1.14628,1.41694,1.43365,0.64357,0.61557,0.66158,0.42658,1.27898,1.25168,1.52614,0.000135705,0.000135705,0.000135705
8,672.509,1.13014,1.35465,1.41751,0.56842,0.62084,0.63718,0.41327,1.27397,1.33013,1.5271,0.000132656,0.000132656,0.000132656
9,755.556,1.11967,1.31681,1.41481,0.67976,0.66905,0.71267,0.45695,1.25771,1.14245,1.52004,0.000129606,0.000129606,0.000129606
10,838.778,1.10941,1.26914,1.40732,0.65917,0.65508,0.69304,0.45248,1.25832,1.17764,1.51207,0.000126557,0.000126557,0.000126557
11,921.797,1.09028,1.22902,1.39064,0.65454,0.67387,0.71874,0.47029,1.25769,1.0905,1.50558,0.000123508,0.000123508,0.000123508
12,1004.9,1.08572,1.20118,1.38958,0.68253,0.66807,0.72207,0.46673,1.24142,1.114,1.48881,0.000120459,0.000120459,0.000120459
13,1087.89,1.07807,1.17272,1.38152,0.69662,0.69964,0.75722,0.49618,1.22319,1.05321,1.48163,0.00011741,0.00011741,0.00011741
14,1171,1.06567,1.14241,1.37167,0.70125,0.69935,0.75669,0.50562,1.21748,0.99586,1.48878,0.00011436,0.00011436,0.00011436
15,1254.15,1.05921,1.12104,1.36802,0.69272,0.71817,0.76727,0.50637,1.22645,0.99624,1.48932,0.000111311,0.000111311,0.000111311
16,1337.33,1.04637,1.0933,1.35637,0.68748,0.71918,0.75823,0.50105,1.23082,1.04475,1.47466,0.000108262,0.000108262,0.000108262
17,1420.37,1.04151,1.06787,1.35457,0.73739,0.71069,0.77321,0.5088,1.21081,0.9842,1.44882,0.000105213,0.000105213,0.000105213
18,1503.51,1.02895,1.04601,1.34512,0.71463,0.71178,0.76525,0.50521,1.23552,1.00936,1.48443,0.000102164,0.000102164,0.000102164
19,1586.51,1.02594,1.0307,1.34068,0.71983,0.71058,0.76527,0.5048,1.22729,1.0255,1.45838,9.91144e-05,9.91144e-05,9.91144e-05
20,1669.44,1.01926,1.00618,1.33486,0.71295,0.7447,0.77698,0.5193,1.21236,0.96266,1.45846,9.60652e-05,9.60652e-05,9.60652e-05
21,1752.47,1.00582,0.98628,1.3257,0.72987,0.73999,0.79396,0.5307,1.19981,0.92167,1.44914,9.3016e-05,9.3016e-05,9.3016e-05
22,1835.58,0.99576,0.96339,1.31347,0.73595,0.73683,0.80014,0.53485,1.20125,0.89866,1.45318,8.99668e-05,8.99668e-05,8.99668e-05
23,1918.65,0.98448,0.94366,1.30781,0.73225,0.74702,0.79831,0.53385,1.22069,0.89381,1.47483,8.69176e-05,8.69176e-05,8.69176e-05
24,2001.62,0.97841,0.92372,1.30482,0.73791,0.74201,0.79755,0.53623,1.1854,0.90293,1.44822,8.38684e-05,8.38684e-05,8.38684e-05
25,2084.85,0.97333,0.9065,1.2977,0.73073,0.75391,0.80641,0.54116,1.21332,0.87115,1.45496,8.08192e-05,8.08192e-05,8.08192e-05
26,2167.98,0.95768,0.89662,1.29191,0.75779,0.72752,0.8043,0.53842,1.19448,0.8738,1.44951,7.777e-05,7.777e-05,7.777e-05
27,2250.99,0.95601,0.88457,1.28658,0.71724,0.7571,0.79928,0.5335,1.21224,0.89152,1.46203,7.47208e-05,7.47208e-05,7.47208e-05
28,2333.92,0.94342,0.86833,1.27631,0.71675,0.76065,0.79638,0.53043,1.21841,0.92508,1.46697,7.16716e-05,7.16716e-05,7.16716e-05
29,2416.84,0.93558,0.84624,1.2749,0.75946,0.74408,0.80883,0.54463,1.20965,0.88428,1.45728,6.86224e-05,6.86224e-05,6.86224e-05
30,2499.88,0.93328,0.84365,1.27056,0.74211,0.76415,0.81255,0.54944,1.19733,0.87443,1.46877,6.55732e-05,6.55732e-05,6.55732e-05
31,2582.96,0.91576,0.82247,1.26311,0.72771,0.78657,0.81565,0.55155,1.19372,0.86373,1.45385,6.2524e-05,6.2524e-05,6.2524e-05
32,2665.99,0.91005,0.80937,1.25637,0.74996,0.79573,0.82507,0.56132,1.18984,0.84233,1.44218,5.94748e-05,5.94748e-05,5.94748e-05
33,2749.04,0.90227,0.7997,1.24548,0.74523,0.77725,0.81415,0.54712,1.20265,0.8482,1.44745,5.64256e-05,5.64256e-05,5.64256e-05
34,2831.94,0.8987,0.78031,1.23893,0.7785,0.791,0.83298,0.56365,1.20698,0.80877,1.46502,5.33764e-05,5.33764e-05,5.33764e-05
35,2914.92,0.88434,0.76448,1.23232,0.76131,0.78428,0.82325,0.55822,1.20853,0.83573,1.4701,5.03272e-05,5.03272e-05,5.03272e-05
36,2997.82,0.88039,0.75898,1.23152,0.78131,0.77101,0.82429,0.55833,1.20275,0.82693,1.47075,4.7278e-05,4.7278e-05,4.7278e-05
37,3080.71,0.86858,0.74424,1.22312,0.77357,0.78272,0.82366,0.56095,1.19981,0.83074,1.46312,4.42288e-05,4.42288e-05,4.42288e-05
38,3163.61,0.86397,0.73626,1.21745,0.77065,0.77438,0.82902,0.56541,1.20055,0.82188,1.45541,4.11796e-05,4.11796e-05,4.11796e-05
